id,lon,lat,date,day_of_week,month_name
13,2.146154069720173,41.407416138507116,2019-07-11,Thursday,July
12,2.173148444409973,41.40846827636725,2019-08-29,Thursday,August
16,2.172771952229888,41.40761059780744,2019-09-06,Friday,September
18,2.1848420772360915,41.40792848557219,2019-08-22,Thursday,August
15,2.1722945693483355,41.40751708968202,2019-11-24,Sunday,November
16,2.1725338320197034,41.4075188107,2019-09-08,Sunday,September
14,2.1720712042600483,41.407548237039,2019-12-15,Sunday,December
15,2.1720564501655697,41.407425301594444,2019-09-08,Sunday,September
16,2.172295712485806,41.407427023104454,2019-05-05,Sunday,May
14,2.1714594387444324,41.40733092908296,2019-07-23,Tuesday,July
16,2.172057593628195,41.407335235020874,2019-12-12,Thursday,December
18,2.172655748641872,41.40733953784963,2019-07-16,Tuesday,July
17,2.1847443411099334,41.407949196432334,2019-06-06,Thursday,June
14,2.171221321440973,41.4072391392812,2019-03-08,Friday,March
15,2.171639457214334,41.407287187908224,2019-11-27,Wednesday,November
16,2.171819475446873,41.407243446449215,2019-08-03,Saturday,August
17,2.172058737085625,41.407245168445854,2019-07-26,Friday,July
18,2.1723578141632935,41.40724732024212,2019-09-03,Tuesday,September
20,2.173075599282139,41.40725248138177,2019-11-17,Sunday,November
13,2.171160361351298,41.40732877494808,2019-05-17,Friday,May
14,2.1709832048138136,41.40714734899137,2019-07-03,Wednesday,July
15,2.17122246604942,41.40714907272372,2019-08-06,Tuesday,August
17,2.1718206192294534,41.40715337987817,2019-11-16,Saturday,November
18,2.1720598805378577,41.40715510186939,2019-12-30,Monday,December
19,2.1723589572025923,41.40715725365888,2019-12-09,Monday,December
20,2.1727178492431283,41.407159834780224,2019-04-03,Wednesday,April
21,2.1739656530889784,41.407258874976996,2019-12-03,Tuesday,December
16,2.184609270867946,41.407965322424594,2019-10-31,Thursday,October
15,2.170984349747405,41.40705728243788,2019-11-05,Tuesday,November
17,2.1715825020495685,41.40706159082244,2019-03-11,Monday,March
18,2.1718217630068355,41.407063313305706,2019-12-17,Tuesday,December
19,2.172061023984894,41.40706503529151,2019-06-24,Monday,June
20,2.172360100236696,41.40706718707421,2019-11-09,Saturday,November
21,2.1727189917817133,41.40706976818743,2019-11-19,Tuesday,November
14,2.1706139535621767,41.40701858305963,2019-12-18,Wednesday,December
17,2.171344385545972,41.40696980127864,2019-01-18,Friday,January
18,2.1715836461520968,41.40697152425394,2019-11-30,Saturday,November
19,2.1718229067790196,41.40697324673179,2019-03-18,Monday,March
20,2.172062167426734,41.40697496871216,2019-10-15,Tuesday,October
21,2.1723612432656063,41.4069771204881,2019-03-27,Wednesday,March
13,2.1677203385944925,41.40711670781672,2019-08-16,Friday,August
13,2.145737158615988,41.40694980228063,2019-02-25,Monday,February
13,2.1593728785933823,41.407542692939494,2019-02-16,Saturday,February
22,2.17408014576935,41.40705139892038,2019-05-13,Monday,May
15,2.184470665088343,41.407998529026315,2019-07-09,Tuesday,July
12,2.146498907498894,41.40763016636021,2019-07-06,Saturday,July
12,2.159481615151552,41.40759769543451,2019-12-10,Tuesday,December
16,2.171207713634728,41.40702613717758,2019-09-02,Monday,September
17,2.171106269718664,41.406878011246796,2019-04-29,Monday,April
18,2.171345529973643,41.40687973471413,2019-09-04,Wednesday,September
19,2.1715847902494256,41.40688145768401,2019-07-04,Thursday,July
20,2.171824050546006,41.40688318015643,2019-01-14,Monday,January
21,2.172063310863378,41.406884902131395,2019-10-08,Tuesday,October
22,2.1723623862893215,41.40688705390054,2019-05-21,Tuesday,May
23,2.1727810919401818,41.40689006507152,2019-03-24,Sunday,March
14,2.184327470503065,41.40807072186667,2019-12-24,Tuesday,December
15,2.170567934221056,41.40687413162645,2019-10-06,Sunday,October
16,2.170628894684633,41.40678449627007,2019-03-06,Wednesday,March
17,2.1708681545676463,41.4067862207269,2019-09-01,Sunday,September
18,2.171107414471475,41.40678794468627,2019-01-24,Thursday,January
19,2.1713466743961134,41.40678966814817,2019-02-14,Thursday,February
20,2.171585934341555,41.40679139111263,2019-03-31,Sunday,March
21,2.1718251943077944,41.40679311357963,2019-05-25,Saturday,May
22,2.172064454294825,41.406794835549164,2019-11-01,Friday,November
23,2.172363529307842,41.406796987311544,2019-07-25,Thursday,July
24,2.1727822343806054,41.40679999847305,2019-06-09,Sunday,June
19,2.1711085592190837,41.40669787812429,2019-09-12,Thursday,September
20,2.171347818813383,41.406699601580776,2019-05-23,Thursday,May
21,2.171587078428485,41.40670132453982,2019-03-05,Tuesday,March
22,2.1718263380643847,41.406703047001386,2019-09-27,Friday,September
23,2.1720655977210757,41.40670476896551,2019-11-12,Tuesday,November
24,2.172364672321168,41.40670692072111,2019-09-30,Monday,September
25,2.1727833768158367,41.40670993187314,2019-06-24,Monday,June
13,2.1834335912471663,41.40897737037674,2019-03-21,Thursday,March
11,2.1595568741841897,41.40760732199513,2019-07-08,Monday,July
17,2.170570797951488,41.40664896525296,2019-07-27,Saturday,July
18,2.1708100573337887,41.40665068982601,2019-10-27,Sunday,October
19,2.170930259527175,41.40660651864614,2019-08-07,Wednesday,August
20,2.171109703961491,41.40660781156089,2019-08-23,Friday,August
21,2.1713489632254515,41.40660953501196,2019-07-26,Friday,July
22,2.171588222510216,41.406611257965565,2019-07-14,Sunday,July
23,2.1718274818157774,41.406612980421706,2019-01-25,Friday,January
24,2.1720667411421304,41.40661470238041,2019-08-08,Thursday,August
25,2.172306000489268,41.40661642384166,2019-04-01,Monday,April
26,2.1726648895489347,41.4066190051008,2019-08-12,Monday,August
17,2.170333257308158,41.4065121403622,2019-05-15,Wednesday,May
20,2.1709314045121317,41.40651645208536,2019-07-14,Sunday,July
22,2.1713501076323194,41.40651946844167,2019-03-16,Saturday,March
23,2.171589366586747,41.40652119138985,2019-02-10,Sunday,February
24,2.171768810816217,41.406522483274536,2019-04-27,Saturday,April
25,2.171948255057382,41.4065237748794,2019-07-02,Tuesday,July
26,2.172247328818641,41.40652592693238,2019-10-25,Friday,October
27,2.172606217375011,41.406528508369945,2019-04-14,Sunday,April
16,2.1702130548956506,41.406556310916905,2019-07-31,Wednesday,July
17,2.170214773853738,41.40642121109855,2019-04-15,Monday,April
19,2.170692718270621,41.406469694490966,2019-01-06,Sunday,January
20,2.1708129202058473,41.406425523429945,2019-05-25,Saturday,May
21,2.1710516063764826,41.40647228077463,2019-07-31,Wednesday,July
22,2.1711718080795683,41.40642810933643,2019-08-19,Monday,August
23,2.1713512520339866,41.40642940186995,2019-09-26,Thursday,September
24,2.171530696000106,41.406430694123664,2019-12-10,Tuesday,December
25,2.1717101399779257,41.40643198609755,2019-01-03,Thursday,January
26,2.1719493986332115,41.40643370829413,2019-03-01,Friday,March
27,2.1721886573092855,41.406435429993266,2019-03-31,Sunday,March
28,2.1724877306836023,41.406437581417656,2019-06-03,Monday,June
29,2.1730858775296045,41.40644188193461,2019-11-20,Wednesday,November
17,2.1700169200852404,41.40629968423973,2019-01-31,Thursday,January
19,2.170455178014179,41.40633286985139,2019-12-16,Monday,December
21,2.1708140653455636,41.406335456869,2019-09-01,Sunday,September
22,2.1709935090288206,41.40633674995808,2019-08-25,Sunday,August
23,2.171172952723785,41.40633804276735,2019-12-17,Tuesday,December
24,2.1712925818602633,41.40633890448475,2019-04-01,Monday,April
25,2.1714720255747326,41.40634019682765,2019-05-17,Friday,May
26,2.1717112838788912,41.40634191951627,2019-12-21,Saturday,December
27,2.1718907276206565,41.40634321120628,2019-09-25,Wednesday,September
28,2.1721299859612007,41.40634493302436,2019-04-17,Wednesday,April
29,2.172429058916107,41.40634708459741,2019-12-19,Thursday,December
30,2.1730272049232946,41.406351385411725,2019-04-02,Tuesday,April
19,2.170336694709305,41.40624194071193,2019-04-09,Tuesday,April
21,2.170695581529575,41.40624452809448,2019-08-07,Wednesday,August
22,2.170815210480076,41.40624539030661,2019-10-30,Wednesday,October
23,2.170994653915584,41.40624668339162,2019-04-08,Monday,April
24,2.1711740973627993,41.406247976196816,2019-07-25,Thursday,July
25,2.171293726334112,41.406248837911505,2019-11-09,Saturday,November
26,2.1714731698008323,41.406250130250335,2019-03-31,Sunday,March
27,2.1716526132792526,41.40625142230936,2019-04-10,Wednesday,April
28,2.1718320567693703,41.40625271408859,2019-07-27,Saturday,July
29,2.1720713147743855,41.4062544360256,2019-01-06,Sunday,January
30,2.1723105728001855,41.40625615746517,2019-12-09,Monday,December
31,2.1729685324782584,41.40626088885902,2019-10-07,Monday,October
30,2.173626492313345,41.40626561649092,2019-01-03,Thursday,January
11,2.146639993315709,41.40761108073107,2019-12-05,Thursday,December
18,2.170248858458416,41.406306816244395,2019-06-11,Tuesday,June
20,2.1704908306492467,41.40621731642553,2019-06-26,Wednesday,June
21,2.170577098043917,41.40615359919959,2019-04-20,Saturday,April
22,2.1706967268240485,41.40615446153336,2019-12-05,Thursday,December
23,2.1708163556093836,41.40615532374278,2019-07-14,Sunday,July
25,2.171175241996612,41.40615790962485,2019-09-15,Sunday,September
26,2.1712948708027593,41.40615877133682,2019-09-04,Wednesday,September
27,2.171414499614108,41.40615963292442,2019-10-15,Tuesday,October
28,2.171593942840881,41.40616092507265,2019-06-23,Sunday,June
29,2.171833200494775,41.406162647501695,2019-12-30,Monday,December
30,2.172012643748839,41.40616393899703,2019-06-18,Tuesday,June
31,2.1722519014391124,41.40616566055556,2019-05-21,Tuesday,May
32,2.173329702958059,41.40608333479078,2019-12-05,Thursday,December
31,2.173627633561266,41.40617554986343,2019-12-01,Sunday,December
21,2.170458614888589,41.40606267018433,2019-04-27,Saturday,April
23,2.170698444755999,41.40601936168899,2019-10-05,Saturday,October
24,2.170912974635394,41.406083960166946,2019-05-07,Tuesday,May
25,2.171056757989442,41.406066981217826,2019-03-15,Friday,March
26,2.1711763866252234,41.406067843051446,2019-05-17,Friday,May
27,2.171296015266206,41.406068704760706,2019-08-23,Friday,August
28,2.1714156439123893,41.406069566345586,2019-01-02,Wednesday,January
29,2.171595086891416,41.40607085848976,2019-06-16,Sunday,June
30,2.17177452988214,41.406072150354106,2019-12-31,Tuesday,December
31,2.17195397288456,41.406073441938645,2019-06-28,Friday,June
32,2.172193230239308,41.4060751636161,2019-09-08,Sunday,September
33,2.1728511880720034,41.40607989566415,2019-12-17,Tuesday,December
31,2.1738082179271263,41.40608677192764,2019-11-28,Thursday,November
18,2.1698616183581003,41.40596828949683,2019-03-07,Thursday,March
20,2.1702205036294036,41.40597087834728,2019-07-22,Monday,July
22,2.170519574724627,41.40597303486767,2019-06-05,Wednesday,June
25,2.1709382743126,41.40597605269043,2019-04-27,Saturday,April
26,2.1710579027780144,41.40597691464569,2019-12-28,Saturday,December
27,2.1711775312486323,41.40597777647659,2019-05-06,Monday,May
28,2.171297159724451,41.405978638183136,2019-10-13,Sunday,October
29,2.1714167882054713,41.40597949976532,2019-07-05,Friday,July
30,2.171596230936752,41.405980791905414,2019-05-29,Wednesday,May
31,2.171775673679731,41.4059820837657,2019-01-04,Friday,January
32,2.171955116434405,41.40598337534617,2019-10-24,Thursday,October
33,2.1721943734588254,41.4059850970182,2019-11-07,Thursday,November
34,2.1725532590344194,41.40598767859355,2019-07-05,Friday,July
35,2.1728523303831184,41.40598982905136,2019-05-20,Monday,May
34,2.1731514017642626,41.40599197873192,2019-01-18,Friday,January
33,2.1735102874644463,41.4059945573226,2019-12-27,Friday,December
31,2.173928987506996,41.40599756426379,2019-02-23,Saturday,February
19,2.170041060987892,41.405969584061964,2019-11-09,Saturday,November
21,2.1702814637027728,41.40588124315761,2019-05-03,Friday,May
23,2.1705805343915987,41.40588339951575,2019-01-07,Monday,January
24,2.1707001626762383,41.40588426184139,2019-11-02,Saturday,November
25,2.1708197909660836,41.405885124042655,2019-03-29,Friday,March
26,2.1709394192611327,41.40588598611957,2019-03-28,Thursday,March
27,2.1710590475613847,41.405886848072115,2019-02-06,Wednesday,February
28,2.171178675866839,41.405887709900306,2019-12-22,Sunday,December
29,2.171298304177496,41.40588857160414,2019-08-07,Wednesday,August
30,2.171417932493353,41.4058894331836,2019-08-30,Friday,August
31,2.1715375608144107,41.40589029463871,2019-12-28,Saturday,December
33,2.1719562599790523,41.405893308752255,2019-08-17,Saturday,August
34,2.172195516673147,41.405895030418876,2019-12-09,Monday,December
35,2.172494587569988,41.40589718180262,2019-06-19,Wednesday,June
35,2.1732326765141012,41.40587246301808,2019-07-01,Monday,July
34,2.17359608177158,41.40583303889587,2019-06-03,Monday,June
33,2.173690871481827,41.40590577956506,2019-10-29,Tuesday,October
13,2.2005552569371676,41.40601150923725,2019-02-14,Thursday,February
22,2.1703424236070754,41.40579160793267,2019-03-13,Wednesday,March
23,2.1704620517161417,41.405792470504316,2019-09-14,Saturday,September
24,2.170581679830414,41.40579333295159,2019-09-27,Friday,September
25,2.1707013079498925,41.4057941952745,2019-05-08,Wednesday,May
26,2.170820936074576,41.405795057473064,2019-04-09,Tuesday,April
27,2.1709405642044626,41.40579591954726,2019-03-01,Friday,March
28,2.1710601923395525,41.4057967814971,2019-05-12,Sunday,May
29,2.1711798204798454,41.40579764332257,2019-09-21,Saturday,September
30,2.1712994486253394,41.40579850502369,2019-06-18,Tuesday,June
31,2.171419076776034,41.40579936660045,2019-05-02,Thursday,May
32,2.171657761117496,41.40584612267534,2019-02-05,Tuesday,February
33,2.171777961259318,41.405801950584554,2019-11-22,Friday,November
34,2.171957403518504,41.40580324215689,2019-08-14,Wednesday,August
35,2.1721966598822733,41.4058049638181,2019-03-31,Sunday,March
36,2.172794572406355,41.40582727911778,2019-10-22,Tuesday,October
19,2.169746003022515,41.40565219338868,2019-06-07,Friday,June
22,2.170224514394904,41.40565564539996,2019-04-26,Friday,April
23,2.170344142251022,41.40565650809189,2019-02-01,Friday,February
24,2.170463770112347,41.40565737065944,2019-10-15,Tuesday,October
25,2.1705833979788784,41.40565823310264,2019-06-24,Monday,June
26,2.170703025850615,41.40565909542149,2019-11-01,Friday,November
27,2.1708226537275563,41.40565995761598,2019-03-18,Monday,March
28,2.1709422816097015,41.405660819686105,2019-12-24,Tuesday,December
29,2.1710619094970496,41.40566168163187,2019-09-15,Sunday,September
30,2.171180965087649,41.4057075767434,2019-06-16,Sunday,June
31,2.171300593067982,41.405708438441806,2019-05-18,Saturday,May
33,2.1715801063935825,41.40568042639141,2019-12-08,Sunday,December
34,2.171779105041314,41.405711883991835,2019-04-05,Friday,April
35,2.1719585470527583,41.40571317556011,2019-05-23,Thursday,May
36,2.172197803086205,41.40571489721589,2019-05-02,Thursday,May
36,2.1734144020845205,41.40569361906456,2019-02-16,Saturday,February
31,2.171182681989602,41.405572476871946,2019-11-13,Wednesday,November
32,2.17136155141496,41.405618802659696,2019-04-22,Monday,April
34,2.1716606209821423,41.40562095619941,2019-11-04,Monday,November
35,2.1717802488181133,41.40562181739765,2019-06-19,Wednesday,June
28,2.170824371368828,41.40552485775565,2019-05-09,Thursday,May
29,2.1709439990032333,41.405525719821696,2019-05-23,Thursday,May
30,2.1710636266428414,41.4055265817634,2019-12-30,Monday,December
33,2.1714225095928774,41.405529166842335,2019-08-16,Friday,August
34,2.17154213725329,41.40553002828659,2019-01-02,Wednesday,January
25,2.1745550930421653,41.40637054579881,2019-01-28,Monday,January
26,2.174334809702962,41.40634276161041,2019-06-06,Thursday,June
27,2.1742265748256386,41.40625191001128,2019-01-26,Saturday,January
29,2.174198208876119,41.40599499316075,2019-02-03,Sunday,February
30,2.174203387326606,41.4057103464526,2019-09-15,Sunday,September
31,2.174154769461424,41.40548876105451,2019-12-04,Wednesday,December
11,2.150776026787469,41.405424665346835,2019-06-13,Thursday,June
33,2.1738934846338553,41.405652022501826,2019-04-09,Tuesday,April
35,2.1736865318333045,41.405389865261455,2019-12-22,Sunday,December
32,2.174053749005732,41.40559312321292,2019-12-18,Wednesday,December
34,2.1738150637881617,41.405546372099415,2019-11-28,Thursday,November
24,2.1745792444350913,41.406500784827536,2019-12-12,Thursday,December
22,2.170107178711671,41.40547464946844,2019-06-10,Monday,June
23,2.170226806232262,41.405475512279274,2019-02-16,Saturday,February
24,2.170346433758061,41.40547637496577,2019-11-10,Sunday,November
25,2.1704660612890665,41.40547723752789,2019-05-26,Sunday,May
26,2.170585688825278,41.40547809996568,2019-09-16,Monday,September
27,2.1707053163666954,41.40547896227909,2019-08-03,Saturday,August
36,2.171876866002627,41.40555045298863,2019-04-27,Saturday,April
36,2.173579232126675,41.40527445389484,2019-12-03,Tuesday,December
12,2.200587609112667,41.406030911264224,2019-05-03,Friday,May
29,2.1708260889983912,41.40538975789207,2019-01-25,Friday,January
30,2.170945716385058,41.405390619954055,2019-09-22,Sunday,September
31,2.1710653437769283,41.40539148189169,2019-01-20,Sunday,January
32,2.171184971174,41.40539234370496,2019-03-18,Monday,March
33,2.1713045985762736,41.40539320539387,2019-07-23,Tuesday,July
34,2.171424225983748,41.405394066958415,2019-11-07,Thursday,November
35,2.171603095099589,41.405440392369115,2019-05-01,Wednesday,May
24,2.1702302439492422,41.40520531258746,2019-01-22,Tuesday,January
25,2.1703492981125705,41.40525120855004,2019-05-02,Thursday,May
26,2.170468925230681,41.40525207110539,2019-10-01,Tuesday,October
27,2.1705879796508563,41.40529796682294,2019-11-07,Thursday,November
28,2.170707606861957,41.405298829130935,2019-09-23,Monday,September
34,2.1739369731342983,41.40536709776348,2019-08-18,Sunday,August
33,2.174056600573422,41.40536795659081,2019-08-25,Sunday,August
29,2.17441719310374,41.405235432336866,2019-03-24,Sunday,March
28,2.1741147629109747,41.40605453239565,2019-09-24,Tuesday,September
30,2.1708289516883106,41.40516459144559,2019-02-03,Sunday,February
31,2.170948578662084,41.40516545350079,2019-03-19,Tuesday,March
32,2.1710676332708356,41.40521134872435,2019-08-11,Sunday,August
33,2.1711872603375926,41.4052122105322,2019-06-11,Tuesday,June
34,2.1713068874095502,41.40521307221568,2019-08-01,Thursday,August
36,2.171593878001937,41.405224146408386,2019-08-30,Friday,August
34,2.1738201980614407,41.40514107219421,2019-02-17,Sunday,February
33,2.173939825082485,41.405141931139134,2019-01-31,Thursday,January
32,2.1740594521087138,41.4051427899597,2019-07-12,Friday,July
27,2.174657017426021,41.40519211553084,2019-12-14,Saturday,December
26,2.1747766445659176,41.40519297360661,2019-11-03,Sunday,November
25,2.1748962717109936,41.405193831558016,2019-11-16,Saturday,November
24,2.1750158988612482,41.40519468938507,2019-12-04,Wednesday,December
23,2.1747771130973064,41.40640473841619,2019-07-16,Tuesday,July
11,2.2005835665173556,41.406030427389,2019-01-03,Thursday,January
29,2.1707110425658156,41.4050286293979,2019-03-11,Monday,March
21,2.175547839066038,41.406087078449254,2019-05-18,Saturday,May
29,2.1743015568538375,41.40491934057412,2019-05-20,Monday,May
28,2.1744211834827247,41.40492019901485,2019-06-05,Wednesday,June
27,2.174540240149116,41.40496609066536,2019-02-02,Saturday,February
26,2.1746598668709423,41.404966948858736,2019-07-08,Monday,July
25,2.1747794935979483,41.40496780692774,2019-03-10,Sunday,March
24,2.1748991203301333,41.404968664872406,2019-01-29,Tuesday,January
23,2.175018747067497,41.4049695226927,2019-03-28,Thursday,March
36,2.173464741306341,41.404868294684654,2019-05-16,Thursday,May
35,2.1735843678163618,41.40486915399453,2019-05-22,Wednesday,May
34,2.173703994331569,41.404870013180044,2019-06-23,Sunday,June
33,2.1738236208519615,41.40487087224121,2019-10-19,Saturday,October
32,2.1739432473775393,41.40487173117802,2019-01-14,Monday,January
31,2.1740628739083014,41.40487258999047,2019-07-30,Tuesday,July
30,2.1741825004442465,41.404873448678565,2019-06-10,Monday,June
21,2.1752591395008825,41.404881171275385,2019-12-26,Thursday,December
21,2.169919476624435,41.40507796700772,2019-05-03,Friday,May
22,2.169995574775191,41.404843320603504,2019-10-13,Sunday,October
23,2.17011520113448,41.4048441835197,2019-09-30,Monday,September
28,2.1705948520026648,41.40475756736018,2019-09-19,Thursday,September
26,2.1703550267239633,41.40480087569155,2019-11-14,Thursday,November
27,2.170475225787702,41.40475670494411,2019-12-31,Tuesday,December
33,2.171072784556044,41.40480604907682,2019-11-12,Tuesday,November
34,2.171227013111423,41.40465157631064,2019-07-20,Saturday,July
35,2.1713465518980746,41.40491611093722,2019-04-24,Wednesday,April
25,2.1702348274989776,41.404845046311536,2019-04-21,Sunday,April
31,2.1708335319245338,41.40480432511249,2019-11-25,Monday,November
32,2.1709537306787845,41.40476015386221,2019-12-29,Sunday,December
36,2.1714734459272917,41.40465881024228,2019-09-22,Sunday,September
37,2.172080399215453,41.40471931296822,2019-08-04,Sunday,August
40,2.172519739356003,41.40501127771275,2019-11-02,Saturday,November
30,2.170714478222834,41.40475842965188,2019-03-04,Monday,March
37,2.1731790473488393,41.405384172293594,2019-01-31,Thursday,January
26,2.174542520012054,41.40478595732661,2019-06-28,Friday,June
25,2.1746621464035707,41.40478681551458,2019-10-18,Friday,October
24,2.1747817728002676,41.4047876735782,2019-10-23,Wednesday,October
23,2.174901399202143,41.40478853151745,2019-05-14,Tuesday,May
22,2.1754087725151066,41.40566289242592,2019-06-15,Saturday,June
35,2.173467024131686,41.40468816139167,2019-10-27,Sunday,October
34,2.173586650311399,41.40468902069614,2019-01-26,Saturday,January
33,2.1737062764962993,41.404689879876244,2019-11-06,Wednesday,November
32,2.173825902686384,41.404690738932,2019-01-12,Saturday,January
31,2.173945528881655,41.4046915978634,2019-03-14,Thursday,March
30,2.174065155082109,41.404692456670446,2019-11-15,Friday,November
29,2.174184781287747,41.404693315353136,2019-01-13,Sunday,January
28,2.174304407498567,41.404694173911466,2019-03-30,Saturday,March
27,2.174423463670791,41.404740065680045,2019-05-17,Friday,May
21,2.17514122157104,41.40474521368054,2019-12-20,Friday,December
24,2.170239983892838,41.404439746723554,2019-09-08,Sunday,September
29,2.170717913833014,41.40448822989289,2019-07-27,Saturday,July
39,2.1725061867104647,41.40498300566911,2019-10-31,Thursday,October
36,2.1732881556988004,41.4046418388797,2019-07-27,Saturday,July
26,2.1744251737982396,41.40460496567517,2019-01-10,Thursday,January
25,2.1745447998542704,41.40460582398208,2019-10-14,Monday,October
24,2.174664425915481,41.404606682164655,2019-12-24,Tuesday,December
23,2.174784051981871,41.40460754022286,2019-04-22,Monday,April
22,2.17490367805344,41.40460839815672,2019-09-05,Thursday,September
21,2.175023304130187,41.40460925596622,2019-01-16,Wednesday,January
20,2.175230075509984,41.40634467905918,2019-04-08,Monday,April
30,2.1708386845907652,41.40439902546018,2019-06-01,Saturday,June
35,2.173349110310281,41.4045522019934,2019-08-07,Wednesday,August
34,2.1734687362370786,41.40455306141817,2019-01-31,Thursday,January
33,2.1735883621690637,41.40455392071858,2019-04-08,Monday,April
32,2.173707988106235,41.40455477989462,2019-02-08,Friday,February
31,2.1738276140485917,41.40455563894632,2019-03-07,Thursday,March
30,2.173947239996133,41.40455649787367,2019-01-18,Friday,January
29,2.1740668659488587,41.404557356676655,2019-05-23,Thursday,May
28,2.174186491906768,41.40455821535528,2019-11-15,Friday,November
27,2.1743061178698593,41.40455907390957,2019-06-11,Tuesday,June
25,2.1703607552051905,41.40435054279703,2019-12-10,Tuesday,December
31,2.1709588825901265,41.40435485419446,2019-07-21,Sunday,July
32,2.171078508082725,41.40435571610088,2019-10-09,Wednesday,October
38,2.1725553487782503,41.404999729983324,2019-02-19,Tuesday,February
36,2.173111000364815,41.40446041612812,2019-06-11,Tuesday,June
34,2.1733508226517295,41.4044171020207,2019-10-31,Thursday,October
